ID,Description,Score,Identity_Percent,Aligned_Length,Candidate_Length,Passed_Filter
CUR54937.1,CUR54937.1 hypothetical protein NOCA2220128 [metagenome],47.0,33.33,72,857,True
GKS56643.1,GKS56643.1 hypothetical protein YTPLAS18_01700 [Nitrospira sp.],33.5,33.33,42,115,True
XYX33714.1,XYX33714.1 hypothetical protein ACSHT2_26040 [Bradyrhizobium sp. PUT101],41.0,33.33,48,146,True
OCN01667.1,OCN01667.1 hypothetical protein A7X67_00815 [Clostridium sp. W14A],45.0,33.33,57,467,True
CUR55017.1,CUR55017.1 hypothetical protein NOCA2220208 [metagenome],46.0,33.33,96,976,True
GKS62653.1,GKS62653.1 hypothetical protein YTPLAS21_21110 [Candidatus Nitrosocosmicus sp.],33.5,33.33,42,195,True
RQP18344.1,RQP18344.1 MAG: hypothetical protein EAS52_05775 [Parapedobacter sp.],29.0,33.33,51,194,True
XZG88933.1,XZG88933.1 hypothetical protein ACTT2I_00900 [Stenotrophomonas sp. PUT21],37.5,33.33,42,356,True
GKS67065.1,GKS67065.1 hypothetical protein YTPLAS73_06120 [Nitrosarchaeum sp.],35.0,33.33,21,537,True
GKS67043.1,GKS67043.1 hypothetical protein YTPLAS73_05900 [Nitrosarchaeum sp.],27.5,33.33,21,119,True
WWV55011.1,WWV55011.1 hypothetical protein V0M98_32720 (plasmid) [Pseudomonas silesiensis],34.5,33.33,39,128,True
QHS92652.1,QHS92652.1 MAG: hypothetical protein [viral metagenome],29.0,33.33,15,198,True
APC46941.1,APC46941.1 hypothetical protein BME96_01475 [Virgibacillus halodenitrificans],34.0,33.33,36,146,True
APC47301.1,APC47301.1 hypothetical protein BME96_03560 [Virgibacillus halodenitrificans],32.5,33.33,24,116,True
GKS57434.1,GKS57434.1 hypothetical protein YTPLAS18_09610 [Nitrospira sp.],36.5,33.33,42,124,True
KGP82489.1,KGP82489.1 hypothetical protein P364_0112385 [Paenibacillus sp. MAEPY2],23.0,33.33,12,101,True
RQP05597.1,RQP05597.1 MAG: hypothetical protein D1H97_12125 [Paracoccus sp. BP8],71.0,33.33,195,663,True
KGP82467.1,KGP82467.1 hypothetical protein P364_0112255 [Paenibacillus sp. MAEPY2],40.0,33.33,51,490,True
GKS56759.1,GKS56759.1 hypothetical protein YTPLAS18_02860 [Nitrospira sp.],32.0,33.33,30,171,True
UHH32532.1,UHH32532.1 hypothetical protein LUW10_12275 [Pseudomonas veronii],32.5,33.33,63,130,True
WWV55316.1,WWV55316.1 hypothetical protein V0M98_34265 (plasmid) [Pseudomonas silesiensis],42.5,33.33,63,114,True
CUR56501.1,CUR56501.1 exported hypothetical protein [metagenome],40.0,33.33,159,324,True
GKS67078.1,GKS67078.1 hypothetical protein YTPLAS73_06250 [Nitrosarchaeum sp.],25.5,33.33,15,176,True
APC46849.1,APC46849.1 hypothetical protein BME96_00915 [Virgibacillus halodenitrificans],26.0,33.33,18,153,True
GKS57323.1,GKS57323.1 hypothetical protein YTPLAS18_08500 [Nitrospira sp.],38.0,33.33,63,319,True
GKS57317.1,GKS57317.1 hypothetical protein YTPLAS18_08440 [Nitrospira sp.],40.5,33.33,33,277,True
GAA0861758.1,GAA0861758.1 hypothetical protein GCM10009115_05660 [Sphingopyxis soli],34.5,33.33,36,174,True
KGP80550.1,KGP80550.1 hypothetical protein P364_0119365 [Paenibacillus sp. MAEPY2],37.5,33.33,57,357,True
GAA0865340.1,GAA0865340.1 hypothetical protein GCM10009115_23470 [Sphingopyxis soli],33.0,33.33,30,266,True
WWV55059.1,WWV55059.1 hypothetical protein V0M98_32960 (plasmid) [Pseudomonas silesiensis],30.5,33.33,42,179,True
OCN01717.1,OCN01717.1 hypothetical protein A7X67_01095 [Clostridium sp. W14A],35.0,33.33,27,110,True
GAA0863022.1,GAA0863022.1 hypothetical protein GCM10009115_12030 [Sphingopyxis soli],53.0,33.33,174,658,True
RQP05630.1,RQP05630.1 MAG: hypothetical protein D1H97_11260 [Paracoccus sp. BP8],39.5,33.33,51,139,True
UNT44118.1,UNT44118.1 hypothetical protein MN200_04920 [Acinetobacter sp. LUNF3],26.5,33.33,72,153,True
CAD6522031.1,CAD6522031.1 conserved exported hypothetical protein [metagenome],28.0,33.33,15,136,True
CAD6521989.1,CAD6521989.1 conserved hypothetical protein [metagenome],26.5,33.33,24,136,True
GKS62681.1,GKS62681.1 hypothetical protein YTPLAS21_21390 [Candidatus Nitrosocosmicus sp.],37.0,33.33,99,710,True
GKS62686.1,GKS62686.1 hypothetical protein YTPLAS21_21440 [Candidatus Nitrosocosmicus sp.],29.5,33.33,24,131,True
WWV55043.1,WWV55043.1 hypothetical protein V0M98_32880 (plasmid) [Pseudomonas silesiensis],39.5,33.33,87,542,True
RQP08673.1,RQP08673.1 MAG: hypothetical protein EAS52_24825 [Parapedobacter sp.],28.0,33.33,27,132,True
GAA4409911.1,GAA4409911.1 hypothetical protein GCM10023089_23560 [Quisquiliibacterium transsilvanicum],31.0,33.33,93,121,True
KGP80662.1,KGP80662.1 hypothetical protein P364_0118740 [Paenibacillus sp. MAEPY2],44.0,33.33,108,734,True
WWV50411.1,WWV50411.1 hypothetical protein V0M98_28405 [Pseudomonas silesiensis],62.5,33.33,66,308,True
OCN03405.1,OCN03405.1 hypothetical protein A7X67_11005 [Clostridium sp. W14A],25.0,33.33,21,148,True
CUR56418.1,CUR56418.1 conserved hypothetical protein [metagenome],51.5,33.33,123,389,True
OCN03381.1,OCN03381.1 hypothetical protein A7X67_10865 [Clostridium sp. W14A],30.0,33.33,21,128,True
GKS66984.1,GKS66984.1 hypothetical protein YTPLAS73_05310 [Nitrosarchaeum sp.],39.0,33.33,45,175,True
RAS98636.1,"RAS98636.1 hypothetical protein A6E22_25910, partial [Bacillus cereus]",30.0,33.33,21,175,True
GKS64152.1,GKS64152.1 hypothetical protein YTPLAS72_14560 [Nitrospira sp.],50.5,33.33,114,584,True
GKS64145.1,GKS64145.1 hypothetical protein YTPLAS72_14490 [Nitrospira sp.],28.5,33.33,48,159,True
KKB34505.1,KKB34505.1 hypothetical protein QY95_03856 [Bacillus thermotolerans],24.0,33.33,18,123,True
AJK86240.1,AJK86240.1 hypothetical protein HR49_02960 [Lysinibacillus fusiformis],23.5,33.33,21,243,True
XZG90492.1,XZG90492.1 hypothetical protein ACTT2I_09235 [Stenotrophomonas sp. PUT21],32.0,33.33,36,279,True
PCL92819.1,PCL92819.1 hypothetical protein CPZ30_12125 [Paenibacillus lautus],25.5,33.33,30,133,True
PCL92780.1,PCL92780.1 hypothetical protein CPZ30_13445 [Paenibacillus lautus],31.0,33.33,33,639,True
OCN02435.1,OCN02435.1 hypothetical protein A7X67_15085 [Clostridium sp. W14A],28.0,33.33,18,220,True
OCN02431.1,OCN02431.1 hypothetical protein A7X67_15065 [Clostridium sp. W14A],30.5,33.33,51,183,True
KGP81744.1,KGP81744.1 hypothetical protein P364_0115400 [Paenibacillus sp. MAEPY2],44.0,33.33,42,163,True
GAA4410378.1,GAA4410378.1 hypothetical protein GCM10023089_24530 [Quisquiliibacterium transsilvanicum],46.0,33.33,141,946,True
RQP07268.1,RQP07268.1 MAG: hypothetical protein D1H97_03345 [Paracoccus sp. BP8],27.0,33.33,36,102,True
OCN03291.1,OCN03291.1 hypothetical protein A7X67_13120 [Clostridium sp. W14A],26.0,33.33,18,320,True
OCN03285.1,OCN03285.1 hypothetical protein A7X67_13090 [Clostridium sp. W14A],29.5,33.33,24,173,True
WWV55089.1,WWV55089.1 hypothetical protein V0M98_33115 (plasmid) [Pseudomonas silesiensis],49.0,33.33,48,368,True
PCL93439.1,PCL93439.1 hypothetical protein CPZ30_08310 [Paenibacillus lautus],38.5,33.33,45,434,True
UFN93144.1,UFN93144.1 hypothetical protein LF814_24640 [Micromonospora aurantiaca (nom. illeg.)],44.0,33.33,39,627,True
QBR70625.1,QBR70625.1 hypothetical protein CU048_04320 [Beijerinckiaceae bacterium],33.0,33.33,30,325,True
RQP21073.1,RQP21073.1 MAG: hypothetical protein EAS49_00340 [Brucella intermedia],38.0,33.33,36,129,True
RQP20967.1,RQP20967.1 MAG: hypothetical protein EAS49_00915 [Brucella intermedia],26.0,33.33,12,114,True
UFN92606.1,UFN92606.1 hypothetical protein LF814_21685 [Micromonospora aurantiaca (nom. illeg.)],33.0,33.33,30,179,True
PCL91907.1,PCL91907.1 hypothetical protein CPZ30_14275 [Paenibacillus lautus],28.5,33.33,51,116,True
PCL91789.1,PCL91789.1 hypothetical protein CPZ30_17920 [Paenibacillus lautus],37.5,33.33,45,163,True
URF07289.1,URF07289.1 hypothetical protein M5D45_18945 [Cupriavidus campinensis],28.0,33.33,30,136,True
CUR62131.1,CUR62131.1 hypothetical protein NOCA170077 [metagenome],55.0,33.33,147,515,True
GKS57233.1,GKS57233.1 hypothetical protein YTPLAS18_07600 [Nitrospira sp.],30.5,33.33,102,239,True
UUD61031.1,UUD61031.1 hypothetical protein KK132_04015 [Bacillus velezensis],33.0,33.33,30,215,True
UUD60772.1,UUD60772.1 hypothetical protein KK132_02595 [Bacillus velezensis],38.5,33.33,48,573,True
AJK86411.1,AJK86411.1 hypothetical protein HR49_03910 [Lysinibacillus fusiformis],44.5,33.33,48,453,True
GAA0864461.1,GAA0864461.1 hypothetical protein GCM10009115_19100 [Sphingopyxis soli],46.5,33.33,66,478,True
GAB6181339.1,GAB6181339.1 hypothetical protein JCM14036_26580 [Desulfotomaculum defluvii],27.0,33.33,24,105,True
UFN95615.1,UFN95615.1 hypothetical protein LF814_05500 [Micromonospora aurantiaca (nom. illeg.)],31.5,33.33,36,191,True
UFN95596.1,UFN95596.1 hypothetical protein LF814_05395 [Micromonospora aurantiaca (nom. illeg.)],38.5,33.33,168,314,True
GKS66919.1,GKS66919.1 hypothetical protein YTPLAS73_04660 [Nitrosarchaeum sp.],30.0,33.33,15,115,True
UNT44379.1,UNT44379.1 hypothetical protein MN200_06395 [Acinetobacter sp. LUNF3],26.5,33.33,30,100,True
WWV55276.1,WWV55276.1 hypothetical protein V0M98_34055 (plasmid) [Pseudomonas silesiensis],29.0,33.33,30,185,True
GKS67248.1,GKS67248.1 hypothetical protein YTPLAS73_07950 [Nitrosarchaeum sp.],23.0,33.33,27,115,True
GKS67239.1,GKS67239.1 hypothetical protein YTPLAS73_07860 [Nitrosarchaeum sp.],37.0,33.33,42,195,True
WWV55068.1,WWV55068.1 hypothetical protein V0M98_33005 (plasmid) [Pseudomonas silesiensis],25.5,33.33,33,124,True
GKS57227.1,GKS57227.1 hypothetical protein YTPLAS18_07540 [Nitrospira sp.],41.5,33.33,111,208,True
QHS92737.1,QHS92737.1 MAG: hypothetical protein [viral metagenome],31.0,33.33,21,301,True
OCN03370.1,OCN03370.1 hypothetical protein A7X67_10800 [Clostridium sp. W14A],38.5,33.33,54,344,True
XYX34730.1,XYX34730.1 hypothetical protein ACSHT2_31410 [Bradyrhizobium sp. PUT101],41.0,33.33,57,253,True
QRE83327.1,QRE83327.1 hypothetical protein F1734_08195 [Rhodococcus ruber],36.5,33.33,45,262,True
GKS64839.1,GKS64839.1 hypothetical protein YTPLAS72_21430 [Nitrospira sp.],38.0,33.33,84,148,True
KKB41691.1,KKB41691.1 hypothetical protein QY96_01928 [Bacillus thermotolerans],53.5,33.33,99,258,True
KKB41678.1,KKB41678.1 hypothetical protein QY96_01915 [Bacillus thermotolerans],40.5,33.33,60,149,True
OCN01964.1,OCN01964.1 hypothetical protein A7X67_03715 [Clostridium sp. W14A],40.5,33.33,39,286,True
CUR55133.1,CUR55133.1 conserved hypothetical protein [metagenome],44.0,33.33,33,159,True
UNT44423.1,UNT44423.1 hypothetical protein MN200_06625 [Acinetobacter sp. LUNF3],40.5,33.33,72,233,True
UNT44420.1,UNT44420.1 hypothetical protein MN200_06610 [Acinetobacter sp. LUNF3],30.0,33.33,18,123,True
UNT44367.1,UNT44367.1 hypothetical protein MN200_06335 [Acinetobacter sp. LUNF3],34.5,33.33,39,171,True
CUR62105.1,CUR62105.1 exported hypothetical protein [metagenome],37.0,33.33,30,401,True
UFN95642.1,UFN95642.1 hypothetical protein LF814_05645 [Micromonospora aurantiaca (nom. illeg.)],42.0,33.33,30,132,True
KGP82158.1,KGP82158.1 hypothetical protein P364_0113480 [Paenibacillus sp. MAEPY2],36.0,33.33,57,301,True
GKS56866.1,GKS56866.1 hypothetical protein YTPLAS18_03930 [Nitrospira sp.],37.0,33.33,63,218,True
CUR55196.1,CUR55196.1 conserved membrane hypothetical protein [metagenome],39.0,33.33,27,149,True
OWY83540.1,OWY83540.1 hypothetical protein B9C99_00010 [Rhodococcus sp. BUPNP1],35.0,33.33,33,175,True
KGP81031.1,KGP81031.1 hypothetical protein P363_0129435 [Paenibacillus sp. MAEPY1],29.0,33.33,15,106,True
KGP81028.1,KGP81028.1 hypothetical protein P363_0129420 [Paenibacillus sp. MAEPY1],49.0,33.33,129,179,True
GKS67255.1,GKS67255.1 hypothetical protein YTPLAS73_08020 [Nitrosarchaeum sp.],30.5,33.33,27,182,True
CAD6520692.1,CAD6520692.1 conserved exported hypothetical protein [metagenome],35.5,33.33,60,160,True
XYX33907.1,XYX33907.1 hypothetical protein ACSHT2_27080 [Bradyrhizobium sp. PUT101],34.5,33.33,33,138,True
WWV55110.1,WWV55110.1 hypothetical protein V0M98_33220 (plasmid) [Pseudomonas silesiensis],41.0,33.33,63,606,True
UUD60194.1,UUD60194.1 hypothetical protein KK132_18540 [Bacillus velezensis],25.0,33.33,51,174,True
GAA0865442.1,GAA0865442.1 hypothetical protein GCM10009115_24000 [Sphingopyxis soli],44.5,33.33,75,132,True
GKS57196.1,GKS57196.1 hypothetical protein YTPLAS18_07230 [Nitrospira sp.],40.5,33.33,42,204,True
GKS57154.1,GKS57154.1 hypothetical protein YTPLAS18_06810 [Nitrospira sp.],29.0,33.33,45,108,True
CUR56100.1,CUR56100.1 conserved hypothetical protein [metagenome],51.5,33.33,108,217,True
CAD6520856.1,CAD6520856.1 conserved hypothetical protein [metagenome],29.0,33.33,27,110,True
OCN03171.1,OCN03171.1 hypothetical protein A7X67_13665 [Clostridium sp. W14A],41.0,33.33,66,107,True
OCN03165.1,OCN03165.1 hypothetical protein A7X67_13630 [Clostridium sp. W14A],27.0,33.33,24,150,True
GKS67351.1,GKS67351.1 hypothetical protein YTPLAS73_08980 [Nitrosarchaeum sp.],40.0,33.33,72,172,True
GKS67319.1,GKS67319.1 hypothetical protein YTPLAS73_08660 [Nitrosarchaeum sp.],54.5,33.33,135,832,True
OCN02053.1,OCN02053.1 hypothetical protein A7X67_04780 [Clostridium sp. W14A],31.5,33.33,36,163,True
QQE07359.1,QQE07359.1 hypothetical protein IC580_02695 [Cupriavidus sp. ISTL7],49.5,33.33,93,685,True
KGP81999.1,KGP81999.1 hypothetical protein P364_0114380 [Paenibacillus sp. MAEPY2],34.0,33.33,27,232,True
OCN01982.1,OCN01982.1 hypothetical protein A7X67_04295 [Clostridium sp. W14A],35.0,33.33,30,235,True
OCN01972.1,OCN01972.1 hypothetical protein A7X67_04240 [Clostridium sp. W14A],27.0,33.33,12,106,True
RAS95958.1,RAS95958.1 hypothetical protein A6E21_07850 [Bacillus cereus],29.5,33.33,24,162,True
RAS95925.1,RAS95925.1 hypothetical protein A6E21_07680 [Bacillus cereus],21.0,33.33,12,108,True
KKB41584.1,KKB41584.1 hypothetical protein QY96_01947 [Bacillus thermotolerans],37.0,33.33,30,244,True
KKB40678.1,KKB40678.1 hypothetical protein QY95_01252 [Bacillus thermotolerans],29.0,33.33,48,270,True
KKB40650.1,KKB40650.1 hypothetical protein QY95_01224 [Bacillus thermotolerans],33.0,33.33,72,114,True
RAS96547.1,RAS96547.1 hypothetical protein A6E21_05255 [Bacillus cereus],30.0,33.33,36,341,True
UFN97204.1,UFN97204.1 hypothetical protein LF814_14185 [Micromonospora aurantiaca (nom. illeg.)],23.5,33.33,33,104,True
GAB6181444.1,GAB6181444.1 hypothetical protein JCM14036_27630 [Desulfotomaculum defluvii],58.5,33.33,123,650,True
EIW90387.1,EIW90387.1 hypothetical protein AGRI_00915 [Alishewanella agri BL06],53.5,33.33,96,597,True
GKS57110.1,GKS57110.1 hypothetical protein YTPLAS18_06370 [Nitrospira sp.],37.5,33.33,42,208,True
RQP08165.1,RQP08165.1 MAG: hypothetical protein D1H97_00545 [Paracoccus sp. BP8],53.0,33.33,165,361,True
RQP08106.1,RQP08106.1 MAG: hypothetical protein EAS48_10610 [Chryseobacterium sp.],43.5,33.33,132,711,True
GAA0861637.1,GAA0861637.1 hypothetical protein GCM10009115_05100 [Sphingopyxis soli],34.5,33.33,51,227,True
KGP81127.1,KGP81127.1 hypothetical protein P364_0117700 [Paenibacillus sp. MAEPY2],26.0,33.33,15,240,True
GKS67385.1,GKS67385.1 hypothetical protein YTPLAS73_09320 [Nitrosarchaeum sp.],49.0,33.33,48,378,True
GKS67367.1,GKS67367.1 hypothetical protein YTPLAS73_09140 [Nitrosarchaeum sp.],29.0,33.33,9,242,True
GKS56954.1,GKS56954.1 hypothetical protein YTPLAS18_04810 [Nitrospira sp.],31.5,33.33,72,181,True
OCN02122.1,OCN02122.1 hypothetical protein A7X67_05145 [Clostridium sp. W14A],35.0,33.33,84,250,True
CAD6522422.1,CAD6522422.1 conserved hypothetical protein [metagenome],28.0,33.33,39,135,True
CUR56158.1,CUR56158.1 conserved membrane hypothetical protein [metagenome],29.0,33.33,51,152,True
CUR56151.1,CUR56151.1 membrane hypothetical protein [metagenome],64.5,33.33,150,420,True
UUD59902.1,UUD59902.1 hypothetical protein KK132_16990 [Bacillus velezensis],35.0,33.33,21,169,True
KGP81359.1,KGP81359.1 hypothetical protein P363_0128100 [Paenibacillus sp. MAEPY1],31.0,33.33,15,100,True
GAA4410099.1,GAA4410099.1 hypothetical protein GCM10023089_23940 [Quisquiliibacterium transsilvanicum],41.5,33.33,78,121,True
RQP07973.1,RQP07973.1 MAG: hypothetical protein D1H97_00855 [Paracoccus sp. BP8],39.5,33.33,105,215,True
UUD59525.1,UUD59525.1 hypothetical protein KK132_15000 [Bacillus velezensis],42.5,33.33,39,360,True
GKS57116.1,GKS57116.1 hypothetical protein YTPLAS18_06430 [Nitrospira sp.],27.0,33.33,24,124,True
AGM61415.1,AGM61415.1 hypothetical protein BTP1_49 [Bacillus phage phiBTP1],24.0,33.33,15,102,True
EIW88024.1,EIW88024.1 hypothetical protein AGRI_12501 [Alishewanella agri BL06],33.5,33.33,30,168,True
GFO81332.1,GFO81332.1 MAG: hypothetical protein A49_09590 [Methyloceanibacter sp.],35.5,33.33,69,213,True
GFO81510.1,GFO81510.1 MAG: hypothetical protein A49_11370 [Methyloceanibacter sp.],29.0,33.33,21,376,True
RAS95987.1,RAS95987.1 hypothetical protein A6E21_07455 [Bacillus cereus],37.0,33.33,42,325,True
RQP06845.1,RQP06845.1 MAG: hypothetical protein D1H97_05645 [Paracoccus sp. BP8],50.0,33.33,57,702,True
RAS98973.1,RAS98973.1 hypothetical protein A6E22_25215 [Bacillus cereus],35.5,33.33,126,298,True
RQP07898.1,"RQP07898.1 MAG: hypothetical protein EAS48_10810, partial [Chryseobacterium sp.]",33.5,33.33,36,182,True
QQE06104.1,QQE06104.1 hypothetical protein IC580_09700 [Cupriavidus sp. ISTL7],30.0,33.33,24,143,True
QQE05914.1,QQE05914.1 hypothetical protein IC580_08490 [Cupriavidus sp. ISTL7],26.0,33.33,24,157,True
XYX34362.1,XYX34362.1 hypothetical protein ACSHT2_29475 [Bradyrhizobium sp. PUT101],34.5,33.33,57,154,True
KGP81363.1,KGP81363.1 hypothetical protein P363_0128125 [Paenibacillus sp. MAEPY1],34.0,33.33,27,232,True
GKS66479.1,GKS66479.1 hypothetical protein YTPLAS73_00260 [Nitrosarchaeum sp.],35.5,33.33,54,155,True
UHH33177.1,UHH33177.1 hypothetical protein LUW10_10995 [Pseudomonas veronii],30.0,33.33,27,154,True
CUR55694.1,CUR55694.1 exported hypothetical protein [metagenome],34.0,33.33,18,189,True
XYX33998.1,XYX33998.1 hypothetical protein ACSHT2_27550 [Bradyrhizobium sp. PUT101],47.5,33.33,123,389,True
GKS56971.1,GKS56971.1 hypothetical protein YTPLAS18_04980 [Nitrospira sp.],28.0,33.33,48,111,True
KGP81995.1,KGP81995.1 hypothetical protein P364_0114355 [Paenibacillus sp. MAEPY2],31.0,33.33,15,100,True
GAB6179502.1,GAB6179502.1 hypothetical protein JCM14036_08210 [Desulfotomaculum defluvii],31.5,33.33,24,145,True
XYX33927.1,XYX33927.1 hypothetical protein ACSHT2_27180 [Bradyrhizobium sp. PUT101],47.5,33.33,99,321,True
XYX33919.1,XYX33919.1 hypothetical protein ACSHT2_27140 [Bradyrhizobium sp. PUT101],29.5,33.33,57,161,True
GKS64232.1,GKS64232.1 hypothetical protein YTPLAS72_15360 [Nitrospira sp.],23.5,33.33,24,105,True
UUD58527.1,UUD58527.1 hypothetical protein KK132_09555 [Bacillus velezensis],38.0,33.33,27,126,True
UNT44816.1,UNT44816.1 hypothetical protein MN200_13870 [Acinetobacter sp. LUNF3],43.5,33.33,66,119,True
CAD6523011.1,CAD6523011.1 conserved hypothetical protein [metagenome],25.0,33.33,9,123,True
CUR55761.1,CUR55761.1 conserved hypothetical protein [metagenome],36.5,33.33,54,126,True
AJK86755.1,AJK86755.1 hypothetical protein HR49_06070 [Lysinibacillus fusiformis],31.0,33.33,36,334,True
GKS66544.1,GKS66544.1 hypothetical protein YTPLAS73_00910 [Nitrosarchaeum sp.],41.5,33.33,72,596,True
GKS66793.1,GKS66793.1 hypothetical protein YTPLAS73_03400 [Nitrosarchaeum sp.],33.0,33.33,18,280,True
GAA0865555.1,GAA0865555.1 hypothetical protein GCM10009115_24600 [Sphingopyxis soli],46.0,33.33,129,242,True
GKS66757.1,GKS66757.1 hypothetical protein YTPLAS73_03040 [Nitrosarchaeum sp.],22.5,33.33,24,140,True
GKS66816.1,GKS66816.1 hypothetical protein YTPLAS73_03630 [Nitrosarchaeum sp.],35.0,33.33,45,103,True
GKS56928.1,GKS56928.1 hypothetical protein YTPLAS18_04550 [Nitrospira sp.],36.0,33.33,60,230,True
KGP81964.1,KGP81964.1 hypothetical protein P364_0114170 [Paenibacillus sp. MAEPY2],32.0,33.33,36,116,True
KGP81953.1,KGP81953.1 hypothetical protein P364_0114110 [Paenibacillus sp. MAEPY2],36.0,33.33,21,244,True
KGP81944.1,KGP81944.1 hypothetical protein P364_0114060 [Paenibacillus sp. MAEPY2],41.5,33.33,90,199,True
XYX34074.1,XYX34074.1 hypothetical protein ACSHT2_27950 [Bradyrhizobium sp. PUT101],31.5,33.33,36,222,True
UFN92698.1,UFN92698.1 hypothetical protein LF814_22205 [Micromonospora aurantiaca (nom. illeg.)],43.0,33.33,111,839,True
RAS96054.1,RAS96054.1 hypothetical protein A6E21_07325 [Bacillus cereus],25.0,33.33,15,198,True
PCL92277.1,PCL92277.1 hypothetical protein CPZ30_16250 [Paenibacillus lautus],31.0,33.33,12,227,True
PCL92255.1,PCL92255.1 hypothetical protein CPZ30_16125 [Paenibacillus lautus],34.0,33.33,27,150,True
RQP07253.1,RQP07253.1 MAG: hypothetical protein D1H97_03260 [Paracoccus sp. BP8],48.5,33.33,93,506,True
AJK86588.1,AJK86588.1 hypothetical protein HR49_04960 [Lysinibacillus fusiformis],37.5,33.33,54,353,True
KKB41363.1,KKB41363.1 hypothetical protein QY96_02026 [Bacillus thermotolerans],24.0,33.33,18,123,True
GAA0864735.1,GAA0864735.1 hypothetical protein GCM10009115_20460 [Sphingopyxis soli],59.0,33.33,75,152,True
UFN97345.1,UFN97345.1 hypothetical protein LF814_14965 [Micromonospora aurantiaca (nom. illeg.)],37.0,33.33,39,104,True
PCL92669.1,PCL92669.1 hypothetical protein CPZ30_12845 [Paenibacillus lautus],39.0,33.33,57,407,True
OCN02400.1,OCN02400.1 hypothetical protein A7X67_14870 [Clostridium sp. W14A],26.0,33.33,21,347,True
GKS66626.1,GKS66626.1 hypothetical protein YTPLAS73_01730 [Nitrosarchaeum sp.],42.0,33.33,21,174,True
UNT44764.1,UNT44764.1 hypothetical protein MN200_08240 [Acinetobacter sp. LUNF3],29.5,33.33,27,131,True
RAS98706.1,RAS98706.1 hypothetical protein A6E22_25780 [Bacillus cereus],42.0,33.33,111,445,True
GAA0861476.1,GAA0861476.1 hypothetical protein GCM10009115_04300 [Sphingopyxis soli],44.0,33.33,75,103,True
OCN02189.1,OCN02189.1 hypothetical protein A7X67_12065 [Clostridium sp. W14A],25.5,33.33,51,220,True
GKS57034.1,GKS57034.1 hypothetical protein YTPLAS18_05610 [Nitrospira sp.],30.5,33.33,78,177,True
GFO81355.1,GFO81355.1 MAG: hypothetical protein A49_09820 [Methyloceanibacter sp.],37.5,33.33,108,261,True
GFO81410.1,GFO81410.1 MAG: hypothetical protein A49_10370 [Methyloceanibacter sp.],41.0,33.33,24,135,True
GFO81501.1,GFO81501.1 MAG: hypothetical protein A49_11280 [Methyloceanibacter sp.],25.5,33.33,15,157,True
PCL92980.1,PCL92980.1 hypothetical protein CPZ30_05725 [Paenibacillus lautus],49.5,33.33,69,310,True
PCL92408.1,PCL92408.1 hypothetical protein CPZ30_16775 [Paenibacillus lautus],41.0,33.33,66,252,True
GKS56965.1,GKS56965.1 hypothetical protein YTPLAS18_04920 [Nitrospira sp.],37.0,33.33,123,296,True
KGP81843.1,KGP81843.1 hypothetical protein P364_0115970 [Paenibacillus sp. MAEPY2],40.5,33.33,123,398,True
RQP07174.1,RQP07174.1 MAG: hypothetical protein D1H97_03910 [Paracoccus sp. BP8],33.5,33.33,54,141,True
GKS66794.1,GKS66794.1 hypothetical protein YTPLAS73_03410 [Nitrosarchaeum sp.],38.0,33.33,45,134,True
OCN02719.1,OCN02719.1 hypothetical protein A7X67_14215 [Clostridium sp. W14A],26.0,33.33,27,156,True
WWV55203.1,WWV55203.1 hypothetical protein V0M98_33690 (plasmid) [Pseudomonas silesiensis],36.5,33.33,33,119,True
GKS57058.1,GKS57058.1 hypothetical protein YTPLAS18_05850 [Nitrospira sp.],62.5,33.33,165,326,True
AHN66612.1,AHN66612.1 hypothetical protein Bcp1_137 [Bacillus phage Bcp1],28.5,33.33,27,179,True
RQP07605.1,RQP07605.1 MAG: hypothetical protein EAS52_26065 [Parapedobacter sp.],33.5,33.33,36,461,True
EIW87979.1,EIW87979.1 hypothetical protein AGRI_12276 [Alishewanella agri BL06],28.0,33.33,24,178,True
CUR60148.1,CUR60148.1 conserved hypothetical protein [metagenome],64.5,33.18,211,390,True
AHB75483.1,AHB75483.1 hypothetical protein X636_08485 [Pandoraea pnomenusa],42.0,33.17,208,512,True
RQP10908.1,RQP10908.1 MAG: hypothetical protein EAS51_07645 [Microbacteriaceae bacterium],60.0,33.16,196,450,True
UFN97185.1,UFN97185.1 hypothetical protein LF814_14080 [Micromonospora aurantiaca (nom. illeg.)],55.0,33.16,187,452,True
KKB41091.1,KKB41091.1 hypothetical protein QY96_02111 [Bacillus thermotolerans],57.0,33.16,190,350,True
KKB34364.1,KKB34364.1 hypothetical protein QY95_03975 [Bacillus thermotolerans],57.0,33.16,190,350,True
WLI91608.1,WLI91608.1 hypothetical protein Q4S45_10950 [Massilia sp. R2A-15],55.5,33.15,178,367,True
GAA0863041.1,GAA0863041.1 hypothetical protein GCM10009115_12130 [Sphingopyxis soli],49.5,33.15,181,297,True
QBR71362.1,QBR71362.1 hypothetical protein CU048_08800 [Beijerinckiaceae bacterium],62.0,33.15,184,1615,True
KGP82835.1,KGP82835.1 hypothetical protein P364_0110675 [Paenibacillus sp. MAEPY2],61.5,33.15,181,682,True
RQP08161.1,RQP08161.1 MAG: hypothetical protein D1H97_00525 [Paracoccus sp. BP8],59.5,33.14,169,348,True
