ID,Average_pLDDT,Num_Residues,Min_pLDDT,Max_pLDDT,Category,Status
GKS62723.1,74.98,179,32.0,94.0,High,Passed
GKS62779.1,36.61,176,27.0,66.0,Very Low,Failed
GKS62787.1,56.99,144,22.0,91.0,Low,Failed
GKS62791.1,92.1,396,48.0,99.0,Very High,Passed
GKS62824.1,67.51,103,35.0,89.0,Low,Failed
GKS62869.1,40.9,130,29.0,49.0,Very Low,Failed
GKS62921.1,82.26,184,45.0,97.0,High,Passed
GKS62952.1,98.57,209,95.0,99.0,Very High,Passed
GKS62960.1,76.44,319,43.0,98.0,High,Passed
GKS63019.1,36.43,106,26.0,52.0,Very Low,Failed
GKS63059.1,82.51,157,41.0,95.0,High,Passed
GKS63090.1,87.33,246,50.0,99.0,High,Passed
GKS63110.1,88.58,249,50.0,99.0,High,Passed
GKS63114.1,76.65,136,34.0,95.0,High,Passed
GKS63126.1,49.77,208,26.0,99.0,Very Low,Failed
GKS63131.1,81.95,223,49.0,98.0,High,Passed
GKS63149.1,95.79,188,63.0,99.0,Very High,Passed
GKS63182.1,45.99,116,36.0,62.0,Very Low,Failed
GKS63183.1,31.36,358,21.0,70.0,Very Low,Failed
GKS63223.1,93.04,195,75.0,98.0,Very High,Passed
GKS63271.1,56.35,193,32.0,83.0,Low,Failed
GKS63313.1,74.67,104,26.0,93.0,High,Passed
GKS63315.1,48.26,314,32.0,72.0,Very Low,Failed
GKS63382.1,95.03,338,70.0,99.0,Very High,Passed
GKS63446.1,86.12,288,51.0,98.0,High,Passed
GKS63459.1,77.63,334,42.0,96.0,High,Passed
GKS63484.1,85.79,356,53.0,98.0,High,Passed
GKS63554.1,77.45,298,48.0,98.0,High,Passed
GKS63573.1,86.39,175,54.0,98.0,High,Passed
GKS63586.1,86.09,306,41.0,99.0,High,Passed
GKS63619.1,83.12,371,37.0,98.0,High,Passed
GKS63657.1,78.39,352,27.0,98.0,High,Passed
GKS63658.1,85.76,182,46.0,99.0,High,Passed
GKS63659.1,85.85,206,59.0,99.0,High,Passed
GKS63793.1,81.52,153,33.0,95.0,High,Passed
GKS56494.1,83.76,167,49.0,95.0,High,Passed
GKS56502.1,85.1,150,34.0,97.0,High,Passed
GKS56522.1,83.33,333,38.0,98.0,High,Passed
GKS56529.1,83.98,348,45.0,98.0,High,Passed
GKS56573.1,94.37,260,72.0,99.0,Very High,Passed
GKS56578.1,92.09,236,43.0,99.0,Very High,Passed
GKS56615.1,95.21,231,65.0,99.0,Very High,Passed
GKS56620.1,86.55,285,63.0,99.0,High,Passed
GKS56629.1,84.1,183,46.0,98.0,High,Passed
GKS56658.1,91.99,263,60.0,98.0,Very High,Passed
GKS56695.1,93.85,214,81.0,99.0,Very High,Passed
GKS63846.1,51.1,272,34.0,78.0,Low,Failed
GKS63862.1,93.77,247,62.0,99.0,Very High,Passed
GKS64000.1,69.8,319,32.0,97.0,Low,Failed
GKS64008.1,58.05,322,21.0,88.0,Low,Failed
GKS64082.1,90.54,285,56.0,98.0,Very High,Passed
GKS64094.1,81.78,216,60.0,97.0,High,Passed
GKS64095.1,97.39,285,92.0,99.0,Very High,Passed
GKS64096.1,83.04,249,55.0,98.0,High,Passed
GKS64102.1,89.94,277,47.0,99.0,High,Passed
GKS64123.1,56.34,387,28.0,95.0,Low,Failed
GKS64133.1,90.12,344,58.0,99.0,Very High,Passed
GKS64143.1,48.68,145,25.0,83.0,Very Low,Failed
GKS64144.1,57.02,144,30.0,87.0,Low,Failed
GKS64176.1,56.8,147,26.0,87.0,Low,Failed
GKS64279.1,53.15,152,37.0,68.0,Low,Failed
GKS64320.1,91.6,377,54.0,99.0,Very High,Passed
GKS64338.1,88.48,372,28.0,99.0,High,Passed
GKS64459.1,95.36,105,80.0,98.0,Very High,Passed
GKS64460.1,80.68,249,55.0,95.0,High,Passed
GKS64520.1,68.4,116,32.0,87.0,Low,Failed
GKS64536.1,54.58,139,20.0,84.0,Low,Failed
GKS64551.1,77.79,315,31.0,99.0,High,Passed
GKS64669.1,84.46,182,48.0,94.0,High,Passed
GKS64699.1,84.42,295,45.0,98.0,High,Passed
GKS64707.1,96.45,276,83.0,99.0,Very High,Passed
GKS64733.1,82.89,298,39.0,97.0,High,Passed
GKS64742.1,91.56,398,57.0,99.0,Very High,Passed
GKS64795.1,97.2,223,79.0,99.0,Very High,Passed
GKS64812.1,78.62,117,34.0,94.0,High,Passed
GKS64818.1,73.22,117,25.0,93.0,High,Passed
GKS64828.1,50.34,131,31.0,82.0,Low,Failed
GKS59893.1,80.39,374,36.0,98.0,High,Passed
GKS60328.1,75.1,135,38.0,94.0,High,Passed
GKS60884.1,96.15,287,68.0,99.0,Very High,Passed
GKS61254.1,93.25,185,67.0,98.0,Very High,Passed
GKS61535.1,84.51,322,46.0,99.0,High,Passed
GKS62661.1,78.96,158,44.0,91.0,High,Passed
GKS62983.1,70.67,139,36.0,92.0,High,Passed
GKS63167.1,90.11,393,56.0,98.0,Very High,Passed
GKS63819.1,81.64,379,44.0,98.0,High,Passed
GKS64925.1,91.96,192,63.0,99.0,Very High,Passed
GKS64964.1,90.35,362,47.0,99.0,Very High,Passed
GKS64970.1,70.42,285,33.0,98.0,High,Passed
GKS65268.1,51.53,270,34.0,73.0,Low,Failed
GKS65269.1,86.49,220,62.0,98.0,High,Passed
GKS65277.1,69.99,317,32.0,97.0,Low,Failed
GKS65290.1,92.12,290,57.0,99.0,Very High,Passed
GKS65315.1,53.83,163,33.0,72.0,Low,Failed
GKS65387.1,81.67,272,47.0,98.0,High,Passed
GKS65422.1,79.27,211,50.0,98.0,High,Passed
GKS65435.1,89.23,163,41.0,96.0,High,Passed
GKS65449.1,86.56,106,44.0,95.0,High,Passed
GKS65475.1,50.64,172,26.0,88.0,Low,Failed
GKS65547.1,84.41,366,20.0,98.0,High,Passed
GKS65563.1,71.81,151,40.0,90.0,High,Passed
GKS65573.1,96.35,263,71.0,99.0,Very High,Passed
GKS65645.1,90.67,217,60.0,98.0,Very High,Passed
GKS65687.1,81.65,241,43.0,98.0,High,Passed
GKS65700.1,81.13,121,44.0,92.0,High,Passed
GKS65706.1,91.14,245,60.0,99.0,Very High,Passed
GKS65709.1,37.32,151,26.0,61.0,Very Low,Failed
GKS65753.1,75.87,316,31.0,99.0,High,Passed
GKS65757.1,88.26,294,53.0,99.0,High,Passed
GKS65768.1,70.18,173,32.0,91.0,High,Passed
GKS65775.1,95.22,223,66.0,99.0,Very High,Passed
GKS65828.1,87.25,342,46.0,99.0,High,Passed
GKS65859.1,77.97,377,56.0,97.0,High,Passed
GKS65884.1,73.09,110,27.0,92.0,High,Passed
GKS65910.1,91.76,374,35.0,99.0,Very High,Passed
GKS65917.1,93.73,180,71.0,99.0,Very High,Passed
GKS65934.1,91.45,332,47.0,99.0,Very High,Passed
GKS66002.1,71.49,123,36.0,87.0,High,Passed
GKS66028.1,96.79,276,90.0,99.0,Very High,Passed
GKS66104.1,67.12,135,28.0,89.0,Low,Failed
GKS66120.1,81.69,215,44.0,96.0,High,Passed
GKS66121.1,87.45,294,51.0,99.0,High,Passed
GKS66123.1,94.42,323,66.0,99.0,Very High,Passed
GKS66148.1,88.55,373,46.0,99.0,High,Passed
GKS66198.1,66.27,121,28.0,88.0,Low,Failed
GKS66202.1,95.26,287,60.0,99.0,Very High,Passed
GKS66206.1,93.37,272,67.0,99.0,Very High,Passed
GKS66223.1,89.85,235,70.0,98.0,High,Passed
GKS66256.1,83.93,215,42.0,98.0,High,Passed
GKS66272.1,93.62,373,71.0,99.0,Very High,Passed
GKS66275.1,62.41,169,30.0,93.0,Low,Failed
GKS66295.1,93.74,338,58.0,99.0,Very High,Passed
GKS66316.1,82.71,233,51.0,98.0,High,Passed
GKS66399.1,86.11,323,41.0,99.0,High,Passed
GKS66464.1,86.74,158,48.0,97.0,High,Passed
GKS66490.1,80.87,318,43.0,98.0,High,Passed
GKS66726.1,79.85,160,39.0,94.0,High,Passed
GKS66811.1,87.71,205,51.0,99.0,High,Passed
GKS66852.1,80.08,150,40.0,92.0,High,Passed
GKS66908.1,62.78,108,37.0,86.0,Low,Failed
GKS66924.1,90.18,290,39.0,99.0,Very High,Passed
GKS66982.1,66.35,165,46.0,84.0,Low,Failed
GKS67142.1,74.8,252,33.0,99.0,High,Passed
GKS67237.1,72.59,148,31.0,92.0,High,Passed
GKS67254.1,61.99,109,32.0,87.0,Low,Failed
GKS67298.1,77.85,116,34.0,93.0,High,Passed
GKS67419.1,77.92,177,39.0,95.0,High,Passed
GKS67485.1,77.76,131,48.0,94.0,High,Passed
GKS67490.1,80.57,161,46.0,94.0,High,Passed
GKS67666.1,54.59,120,37.0,77.0,Low,Failed
GKS67683.1,64.1,252,32.0,95.0,Low,Failed
GKS67716.1,82.12,130,32.0,93.0,High,Passed
GKS67746.1,71.31,160,34.0,90.0,High,Passed
GKS67763.1,86.38,251,39.0,97.0,High,Passed
GKS67850.1,92.75,334,62.0,99.0,Very High,Passed
GKS67872.1,69.39,274,42.0,95.0,Low,Failed
GKS67891.1,97.06,304,81.0,99.0,Very High,Passed
KGO97494.1,93.53,212,52.0,99.0,Very High,Passed
KGO97533.1,61.99,152,48.0,78.0,Low,Failed
KGO97574.1,31.61,238,22.0,83.0,Very Low,Failed
KGO97615.1,90.18,198,71.0,98.0,Very High,Passed
KGO97649.1,89.79,242,42.0,99.0,High,Passed
KGO97663.1,92.7,210,65.0,99.0,Very High,Passed
KGO97693.1,93.63,246,55.0,99.0,Very High,Passed
KGO97766.1,92.31,306,54.0,99.0,Very High,Passed
KGO97825.1,86.74,126,41.0,96.0,High,Passed
KGO97945.1,90.54,160,70.0,96.0,Very High,Passed
KGO97970.1,95.13,211,72.0,99.0,Very High,Passed
KGO98045.1,94.63,278,70.0,99.0,Very High,Passed
KGO98071.1,95.49,319,63.0,99.0,Very High,Passed
KGO98261.1,94.82,195,70.0,99.0,Very High,Passed
KGO98294.1,94.22,188,59.0,99.0,Very High,Passed
KGO98313.1,89.3,301,53.0,99.0,High,Passed
KGO98345.1,69.08,115,28.0,92.0,Low,Failed
KGO98479.1,86.07,184,43.0,97.0,High,Passed
KGO98611.1,42.64,177,28.0,62.0,Very Low,Failed
KGO98649.1,80.28,178,48.0,96.0,High,Passed
KGO98676.1,82.32,167,50.0,95.0,High,Passed
KGO98793.1,87.24,330,46.0,99.0,High,Passed
KGO98842.1,88.93,277,57.0,98.0,High,Passed
KGO98873.1,94.23,344,49.0,99.0,Very High,Passed
KGO98895.1,69.35,147,38.0,92.0,Low,Failed
KGO98949.1,60.87,128,27.0,90.0,Low,Failed
KGO98981.1,95.09,356,66.0,99.0,Very High,Passed
KGO99040.1,46.63,112,27.0,72.0,Very Low,Failed
KGO99308.1,84.13,206,53.0,98.0,High,Passed
KGO99309.1,85.73,302,59.0,98.0,High,Passed
KGO99375.1,51.89,153,29.0,79.0,Low,Failed
KGO99444.1,65.32,172,41.0,80.0,Low,Failed
KGO99456.1,91.5,303,60.0,99.0,Very High,Passed
KGO99472.1,82.75,372,44.0,98.0,High,Passed
KGO99473.1,68.5,379,31.0,98.0,Low,Failed
KGO99607.1,92.38,391,54.0,99.0,Very High,Passed
KGO99646.1,81.98,180,47.0,97.0,High,Passed
KGO99649.1,81.87,246,44.0,98.0,High,Passed
KGO99696.1,93.13,319,35.0,99.0,Very High,Passed
KGO99886.1,89.9,386,56.0,99.0,High,Passed
KGO99910.1,89.64,336,37.0,99.0,High,Passed
KGP77780.1,89.02,344,61.0,99.0,High,Passed
KGP77931.1,72.4,116,49.0,86.0,High,Passed
KGP78077.1,87.36,116,68.0,93.0,High,Passed
KGP78312.1,97.09,230,88.0,99.0,Very High,Passed
KGP78419.1,74.91,307,36.0,98.0,High,Passed
KGP78429.1,85.29,347,32.0,99.0,High,Passed
KGP78698.1,94.38,390,51.0,99.0,Very High,Passed
KGP79079.1,41.25,159,25.0,69.0,Very Low,Failed
KGP79109.1,91.98,368,62.0,98.0,Very High,Passed
KGP79552.1,81.81,265,50.0,95.0,High,Passed
KGP81049.1,83.37,302,48.0,96.0,High,Passed
KGP81557.1,83.08,272,37.0,98.0,High,Passed
KGP82000.1,57.05,236,26.0,81.0,Low,Failed
KGP82760.1,89.0,232,36.0,98.0,High,Passed
KGP82971.1,91.56,381,57.0,99.0,Very High,Passed
KGP83447.1,39.75,161,23.0,73.0,Very Low,Failed
KGP83741.1,83.99,224,44.0,98.0,High,Passed
KGP83888.1,72.89,174,36.0,91.0,High,Passed
KGP84054.1,54.65,131,40.0,82.0,Low,Failed
KGP84074.1,94.9,313,65.0,99.0,Very High,Passed
KGP84171.1,82.07,118,44.0,92.0,High,Passed
KGP84280.1,89.04,116,48.0,96.0,High,Passed
KGP84769.1,92.53,378,66.0,98.0,Very High,Passed
KGP84772.1,72.97,293,41.0,94.0,High,Passed
KGP85340.1,87.27,214,46.0,98.0,High,Passed
KGP85763.1,52.18,130,24.0,84.0,Low,Failed
KGP85765.1,56.05,122,26.0,91.0,Low,Failed
KGP85887.1,94.54,327,55.0,99.0,Very High,Passed
KGP85889.1,93.75,244,67.0,99.0,Very High,Passed
KGP85995.1,63.32,189,36.0,95.0,Low,Failed
KGP86023.1,51.35,193,26.0,88.0,Low,Failed
KGP86041.1,72.88,348,33.0,96.0,High,Passed
KGP86047.1,85.75,378,24.0,99.0,High,Passed
KGP86063.1,79.07,212,41.0,96.0,High,Passed
KGP86136.1,88.62,230,41.0,99.0,High,Passed
KGP86193.1,79.59,315,46.0,98.0,High,Passed
KGP86211.1,95.72,247,69.0,99.0,Very High,Passed
KGP86275.1,96.38,269,86.0,99.0,Very High,Passed
KGP86295.1,92.06,363,56.0,99.0,Very High,Passed
KGP86311.1,78.69,262,56.0,97.0,High,Passed
KGP86361.1,93.37,352,60.0,99.0,Very High,Passed
KGP86377.1,67.71,115,32.0,88.0,Low,Failed
GKS65392.1,87.54,247,50.0,99.0,High,Passed
GKS65906.1,80.91,159,36.0,93.0,High,Passed
GKS66194.1,75.57,163,38.0,92.0,High,Passed
GKS66421.1,86.26,197,43.0,99.0,High,Passed
GKS67007.1,85.65,328,65.0,97.0,High,Passed
GKS67670.1,80.67,324,44.0,98.0,High,Passed
KGO98651.1,92.97,354,57.0,99.0,Very High,Passed
KGO99663.1,91.53,278,66.0,99.0,Very High,Passed
KGP85414.1,85.18,339,37.0,99.0,High,Passed
KGP86495.1,94.71,357,62.0,99.0,Very High,Passed
KGP86590.1,96.39,328,77.0,99.0,Very High,Passed
KGP86712.1,95.28,321,66.0,99.0,Very High,Passed
KGP86765.1,64.49,176,35.0,83.0,Low,Failed
KGP86825.1,87.98,359,38.0,99.0,High,Passed
KGP86862.1,96.26,301,76.0,99.0,Very High,Passed
KGP86907.1,96.47,381,71.0,99.0,Very High,Passed
KGP86942.1,77.8,151,34.0,95.0,High,Passed
KGP87073.1,84.32,179,48.0,94.0,High,Passed
KGP87081.1,89.26,382,48.0,99.0,High,Passed
KGP87098.1,79.11,195,59.0,97.0,High,Passed
KGP87130.1,92.96,210,56.0,99.0,Very High,Passed
KGP87194.1,82.24,124,40.0,96.0,High,Passed
KGP87256.1,94.58,212,69.0,99.0,Very High,Passed
KGP87309.1,94.5,246,71.0,98.0,Very High,Passed
KGP87349.1,93.6,344,70.0,99.0,Very High,Passed
KGP87388.1,89.76,301,39.0,98.0,High,Passed
KGP87490.1,84.54,343,50.0,98.0,High,Passed
KGP87513.1,88.58,257,55.0,99.0,High,Passed
KGP87667.1,83.1,197,50.0,97.0,High,Passed
KGP87740.1,86.56,358,43.0,99.0,High,Passed
KGP87741.1,40.15,137,24.0,54.0,Very Low,Failed
KGP88046.1,92.47,207,60.0,98.0,Very High,Passed
KGP88451.1,88.93,180,47.0,95.0,High,Passed
KGP88483.1,93.17,304,69.0,99.0,Very High,Passed
KGP88695.1,90.5,339,59.0,98.0,Very High,Passed
KGP88713.1,43.91,171,29.0,65.0,Very Low,Failed
KGP88764.1,88.19,286,51.0,98.0,High,Passed
KGP88919.1,82.33,138,44.0,94.0,High,Passed
KGP88935.1,81.41,329,43.0,98.0,High,Passed
KGP89055.1,92.0,203,78.0,98.0,Very High,Passed
KGP89077.1,94.62,205,74.0,98.0,Very High,Passed
KGP89412.1,82.51,121,49.0,94.0,High,Passed
KGP89567.1,44.6,101,30.0,76.0,Very Low,Failed
KKB34097.1,70.81,261,36.0,93.0,High,Passed
KKB35365.1,64.74,235,35.0,89.0,Low,Failed
KKB35997.1,74.05,139,36.0,90.0,High,Passed
KKB36316.1,86.25,217,45.0,98.0,High,Passed
KKB37512.1,85.83,213,57.0,97.0,High,Passed
KKB37719.1,80.7,166,37.0,96.0,High,Passed
KKB40163.1,69.09,179,33.0,91.0,Low,Failed
KKB40913.1,89.39,356,50.0,98.0,High,Passed
KKB41286.1,83.27,159,39.0,97.0,High,Passed
KKB42121.1,94.79,184,68.0,98.0,Very High,Passed
KKB42627.1,75.63,190,34.0,94.0,High,Passed
KKB43346.1,75.07,122,39.0,93.0,High,Passed
KKB43930.1,97.41,274,82.0,99.0,Very High,Passed
KKB44227.1,73.86,188,33.0,98.0,High,Passed
KKB44262.1,92.37,350,59.0,99.0,Very High,Passed
KKB44275.1,79.22,310,39.0,97.0,High,Passed
KKB44848.1,72.93,123,44.0,90.0,High,Passed
KKB44851.1,91.65,236,76.0,98.0,Very High,Passed
KYC28886.1,91.21,261,63.0,99.0,Very High,Passed
KYC28950.1,90.11,242,60.0,99.0,Very High,Passed
KYC28987.1,62.18,182,35.0,91.0,Low,Failed
KYC29102.1,96.43,390,67.0,99.0,Very High,Passed
KYC29188.1,94.28,260,66.0,99.0,Very High,Passed
KYC29365.1,89.15,203,50.0,99.0,High,Passed
KYC29520.1,87.46,226,40.0,99.0,High,Passed
KYC29560.1,78.42,145,45.0,93.0,High,Passed
KYC29589.1,81.36,380,38.0,99.0,High,Passed
OCM99956.1,82.34,285,35.0,98.0,High,Passed
OCN00015.1,79.38,239,55.0,97.0,High,Passed
OCN00086.1,86.92,270,53.0,98.0,High,Passed
OCN00092.1,93.22,390,52.0,99.0,Very High,Passed
OCN00095.1,85.4,141,49.0,95.0,High,Passed
OCN00259.1,95.88,285,76.0,99.0,Very High,Passed
OCN00291.1,74.1,163,46.0,88.0,High,Passed
OCN00292.1,92.33,341,65.0,99.0,Very High,Passed
OCN00310.1,37.78,236,21.0,93.0,Very Low,Failed
OCN00320.1,88.75,306,50.0,99.0,High,Passed
OCN00405.1,48.32,213,30.0,74.0,Very Low,Failed
OCN00452.1,85.09,369,35.0,98.0,High,Passed
OCN00467.1,96.14,316,72.0,99.0,Very High,Passed
OCN00491.1,90.34,238,50.0,99.0,Very High,Passed
OCN00529.1,94.57,199,66.0,99.0,Very High,Passed
OCN00556.1,93.29,201,44.0,99.0,Very High,Passed
OCN00599.1,93.0,321,63.0,99.0,Very High,Passed
OCN00690.1,93.27,219,76.0,98.0,Very High,Passed
OCN00720.1,87.14,276,53.0,98.0,High,Passed
OCN00725.1,91.7,325,67.0,98.0,Very High,Passed
OCN00737.1,75.65,306,40.0,99.0,High,Passed
OCN00788.1,91.97,331,65.0,99.0,Very High,Passed
OCN00823.1,89.87,247,41.0,99.0,High,Passed
OCN00831.1,94.01,222,59.0,99.0,Very High,Passed
OCN00900.1,82.76,350,38.0,98.0,High,Passed
OCN00927.1,90.55,209,68.0,99.0,Very High,Passed
OCN00981.1,90.8,394,64.0,99.0,Very High,Passed
OCN01016.1,91.39,266,66.0,99.0,Very High,Passed
OCN01022.1,70.72,383,29.0,98.0,High,Passed
OCN01056.1,93.01,195,77.0,99.0,Very High,Passed
OCN01182.1,66.73,208,54.0,86.0,Low,Failed
OCN01232.1,88.83,213,58.0,98.0,High,Passed
OCN01263.1,95.66,381,74.0,99.0,Very High,Passed
OCN01287.1,87.54,244,54.0,99.0,High,Passed
OCN01443.1,59.6,186,34.0,89.0,Low,Failed
OCN01469.1,44.12,285,23.0,82.0,Very Low,Failed
OCN01521.1,94.28,385,61.0,98.0,Very High,Passed
OCN01523.1,89.67,269,53.0,98.0,High,Passed
OCN01564.1,92.05,279,57.0,99.0,Very High,Passed
OCN01571.1,79.88,160,31.0,96.0,High,Passed
OCN01615.1,94.61,259,63.0,99.0,Very High,Passed
OCN01650.1,94.86,375,73.0,99.0,Very High,Passed
OCN01665.1,84.75,154,41.0,95.0,High,Passed
OCN01677.1,90.23,223,58.0,99.0,Very High,Passed
OCN01701.1,88.92,311,57.0,99.0,High,Passed
OCN01750.1,92.86,311,54.0,99.0,Very High,Passed
OCN01753.1,87.73,220,53.0,98.0,High,Passed
OCN01755.1,95.67,296,77.0,99.0,Very High,Passed
OCN01761.1,69.33,241,35.0,96.0,Low,Failed
OCN01763.1,82.46,195,56.0,97.0,High,Passed
OCN01797.1,92.67,382,59.0,99.0,Very High,Passed
OCN01814.1,91.77,349,25.0,99.0,Very High,Passed
OCN01815.1,75.78,339,40.0,99.0,High,Passed
OCN01824.1,96.34,346,75.0,99.0,Very High,Passed
OCN01883.1,90.24,339,58.0,99.0,Very High,Passed
OCN01896.1,95.24,281,52.0,99.0,Very High,Passed
OCN01955.1,88.21,297,49.0,98.0,High,Passed
OCN02005.1,83.57,300,48.0,98.0,High,Passed
OCN02061.1,78.39,115,41.0,94.0,High,Passed
OCN02086.1,90.99,277,50.0,99.0,Very High,Passed
OCN02179.1,76.97,129,46.0,92.0,High,Passed
OCN02225.1,92.95,377,64.0,99.0,Very High,Passed
OCN02282.1,92.16,307,64.0,99.0,Very High,Passed
OCN02357.1,94.71,333,71.0,99.0,Very High,Passed
OCN02536.1,94.9,208,69.0,99.0,Very High,Passed
OCN02555.1,88.05,172,49.0,97.0,High,Passed
OCN02569.1,91.18,320,53.0,99.0,Very High,Passed
OCN02650.1,95.6,351,76.0,99.0,Very High,Passed
OCN02664.1,92.35,246,68.0,98.0,Very High,Passed
OCN02706.1,95.57,330,62.0,99.0,Very High,Passed
OCN02754.1,82.03,219,49.0,98.0,High,Passed
OCN02756.1,75.46,267,31.0,99.0,High,Passed
OCN02786.1,96.21,378,76.0,99.0,Very High,Passed
OCN02877.1,95.58,282,56.0,99.0,Very High,Passed
OCN03047.1,96.69,349,77.0,99.0,Very High,Passed
OCN03147.1,81.14,167,49.0,96.0,High,Passed
OCN03175.1,92.73,331,46.0,99.0,Very High,Passed
OCN03209.1,86.04,236,54.0,98.0,High,Passed
OCN03326.1,81.15,181,39.0,97.0,High,Passed
OCN03341.1,80.19,316,31.0,97.0,High,Passed
OCN03352.1,94.1,347,75.0,99.0,Very High,Passed
OCN03359.1,84.49,356,48.0,98.0,High,Passed
OCN03384.1,93.77,192,82.0,99.0,Very High,Passed
OCN03401.1,84.39,219,37.0,97.0,High,Passed
OCN03434.1,87.11,309,31.0,99.0,High,Passed
OWY78990.1,93.53,313,65.0,99.0,Very High,Passed
OWY79080.1,41.72,143,32.0,52.0,Very Low,Failed
OWY79155.1,92.06,290,62.0,99.0,Very High,Passed
OWY79191.1,55.72,271,24.0,93.0,Low,Failed
OWY79366.1,79.8,250,38.0,98.0,High,Passed
OWY79379.1,80.88,144,46.0,92.0,High,Passed
OWY79501.1,59.57,168,43.0,86.0,Low,Failed
KGP86479.1,92.94,293,68.0,99.0,Very High,Passed
KGP87089.1,94.47,343,62.0,99.0,Very High,Passed
KGP87426.1,94.57,273,68.0,99.0,Very High,Passed
KGP88693.1,78.29,146,46.0,94.0,High,Passed
KKB41271.1,83.89,326,49.0,97.0,High,Passed
KKB44522.1,93.13,338,55.0,99.0,Very High,Passed
KYC29452.1,93.69,274,56.0,99.0,Very High,Passed
OCN02511.1,94.36,317,58.0,99.0,Very High,Passed
OCN02853.1,76.08,182,40.0,96.0,High,Passed
OWY79638.1,92.23,273,58.0,99.0,Very High,Passed
OWY79646.1,89.02,388,54.0,97.0,High,Passed
OWY79751.1,93.85,340,57.0,99.0,Very High,Passed
OWY79834.1,86.11,252,39.0,99.0,High,Passed
OWY79838.1,89.37,136,55.0,95.0,High,Passed
OWY79855.1,84.59,174,48.0,96.0,High,Passed
OWY79860.1,93.23,366,63.0,99.0,Very High,Passed
OWY79896.1,84.32,314,51.0,99.0,High,Passed
OWY79935.1,77.85,386,25.0,97.0,High,Passed
OWY80020.1,97.76,252,83.0,99.0,Very High,Passed
OWY80090.1,90.77,355,55.0,98.0,Very High,Passed
OWY80179.1,87.84,353,39.0,98.0,High,Passed
OWY80283.1,92.68,233,67.0,98.0,Very High,Passed
OWY80307.1,92.77,262,59.0,99.0,Very High,Passed
OWY80485.1,84.67,348,34.0,99.0,High,Passed
OWY80489.1,74.08,195,31.0,95.0,High,Passed
OWY80494.1,69.08,206,33.0,90.0,Low,Failed
OWY80670.1,93.73,204,64.0,99.0,Very High,Passed
OWY80679.1,77.2,399,45.0,98.0,High,Passed
OWY80722.1,93.37,291,66.0,99.0,Very High,Passed
OWY80743.1,84.7,305,47.0,99.0,High,Passed
OWY80791.1,94.08,355,42.0,99.0,Very High,Passed
OWY80804.1,73.69,226,40.0,98.0,High,Passed
OWY80813.1,95.23,321,58.0,99.0,Very High,Passed
OWY80842.1,77.52,366,48.0,98.0,High,Passed
OWY80894.1,90.12,172,60.0,96.0,Very High,Passed
OWY80987.1,93.68,283,67.0,99.0,Very High,Passed
OWY81007.1,93.87,301,54.0,99.0,Very High,Passed
OWY81115.1,92.24,307,58.0,99.0,Very High,Passed
OWY81185.1,94.11,311,65.0,99.0,Very High,Passed
OWY81206.1,82.16,188,47.0,98.0,High,Passed
OWY81254.1,76.74,216,47.0,97.0,High,Passed
OWY81276.1,83.94,272,30.0,98.0,High,Passed
OWY81299.1,83.59,345,52.0,99.0,High,Passed
OWY81387.1,81.66,204,36.0,99.0,High,Passed
OWY81390.1,85.92,257,68.0,99.0,High,Passed
OWY81438.1,88.86,195,50.0,98.0,High,Passed
OWY81523.1,74.09,141,38.0,94.0,High,Passed
OWY81561.1,86.7,156,53.0,95.0,High,Passed
OWY81581.1,93.72,278,66.0,99.0,Very High,Passed
OWY81725.1,79.09,164,41.0,96.0,High,Passed
OWY81745.1,67.23,129,32.0,84.0,Low,Failed
OWY81762.1,74.24,109,43.0,93.0,High,Passed
OWY81802.1,92.6,296,64.0,99.0,Very High,Passed
OWY81834.1,76.53,141,41.0,94.0,High,Passed
OWY81923.1,72.16,141,39.0,92.0,High,Passed
OWY82059.1,88.65,331,44.0,98.0,High,Passed
OWY82200.1,82.69,200,44.0,98.0,High,Passed
OWY82253.1,55.73,132,26.0,71.0,Low,Failed
OWY82289.1,72.08,157,42.0,90.0,High,Passed
OWY82345.1,95.85,200,68.0,99.0,Very High,Passed
OWY82412.1,90.8,260,62.0,98.0,Very High,Passed
OWY82414.1,89.19,230,53.0,99.0,High,Passed
OWY82913.1,63.79,139,39.0,84.0,Low,Failed
OWY83053.1,77.98,364,32.0,98.0,High,Passed
OWY83065.1,95.01,317,46.0,99.0,Very High,Passed
OWY83068.1,76.09,138,53.0,93.0,High,Passed
OWY83153.1,83.56,177,46.0,97.0,High,Passed
OWY83378.1,91.19,241,51.0,99.0,Very High,Passed
OWY83434.1,80.75,134,39.0,96.0,High,Passed
OWY83529.1,95.9,202,68.0,99.0,Very High,Passed
OWY83551.1,64.87,118,31.0,89.0,Low,Failed
OWY83761.1,93.92,196,64.0,99.0,Very High,Passed
OWY83844.1,72.3,189,46.0,95.0,High,Passed
PCL89197.1,81.61,172,41.0,95.0,High,Passed
PCL89218.1,87.49,175,54.0,95.0,High,Passed
PCL89228.1,77.23,211,46.0,95.0,High,Passed
PCL89424.1,71.93,174,33.0,91.0,High,Passed
PCL89431.1,89.23,248,45.0,99.0,High,Passed
PCL89467.1,92.6,228,77.0,98.0,Very High,Passed
PCL89707.1,78.32,247,42.0,97.0,High,Passed
